MANUAL,SKILL
Information Technology and Forensics,Coordinate with internal and external subject matter experts to ensure existing qualification standards reflect organizational functional requirements and meet industry standards
Software Development,Coordinate with organizational manpower stakeholders to ensure appropriate allocation and distribution of human capital assets
Cyber Threats,coordinate with senior leadership of an organization to develop a risk management strategy for the organization providing a strategic view of security-related risks for the organization
Information Technology and Forensics,coordinate with senior leadership of an organization to ensure that authorization decisions consider all factors necessary for mission and business success
Communication Architecture and Security,"coordinate with senior leadership of an organization to ensure that the shared responsibility for supporting organizational mission/business functions using external providers of systems, services, and applications receives the needed visibility and is elevated to the appropriate decision-making authorities"
Cyber Threats,coordinate with senior leadership of an organization to facilitate the sharing of risk related information among authorizing officials and other senior leaders within the organization
Cyber Threats,coordinate with senior leadership of an organization to identify the organizational risk posture based on the aggregated risk from the operation and use of the systems for which the organization is responsible
Information Technology and Forensics,coordinate with senior leadership of an organization to promote cooperation and collaboration among authorizing officials to include authorization actions requiring shared responsibility
Cyber Threats,"coordinate with senior leadership of an organization to provide a comprehensive, organization-wide, holistic approach for addressing risk—an approach that provides a greater understanding of the integrated operations of the organization"
Cyber Threats,"coordinate with senior leadership of an organization to provide an organization wide forum to consider all sources of risk (including aggregated risk) to organizational operations and assets, individuals, other organizations, and the Nation"
Cyber Threats,coordinate with senior leadership of an organization to provide oversight for all risk management-related activities across the organization to help ensure consistent and effective risk acceptance decisions
Communication Architecture and Security,"Coordinate with systems architects and developers, as needed, to provide oversight in the development of design solutions"
Data Security,"Coordinate with the appropriate regulating bodies to ensure that programs, policies and procedures involving civil rights, civil liberties and privacy considerations are addressed in an integrated and comprehensive manner"
Data Security,Coordinate with the Chief Information Security Officer to ensure alignment between security and privacy practices
Data Security,Coordinate with the Corporate Compliance Officer regarding procedures for documenting and reporting self-disclosures of any evidence of privacy violations
Software Development,Coordinate with the intelligence planning team to assess capability to satisfy assigned intelligence tasks
Software Development,"coordinate, collaborate and disseminate information to subordinate, lateral and higher-level organizations"
Information Technology and Forensics,"Coordinate, produce, and track intelligence requirements"
Cyber Threats,"Coordinate, synchronize and draft applicable intelligence sections of cyber operations plans"
Communication Architecture and Security,Core Architecture Evolution
Programming Fundamentals,Correct errors by making appropriate changes and rechecking the program to ensure that desired results are produced
Information Technology and Forensics,correcting physical and technical problems that impact system/server performance
Data Mining,correctly employ each organization or element into the collection plan and matrix
Programming Fundamentals,Correctly use pointers and pointer manipulation
Disaster Management,Correlate incident data and perform cyber defense reporting
Disaster Management,Correlate incident data to identify specific vulnerabilities and make recommendations that enable expeditious remediation
Education/Teaching,Correlate training and learning to business or mission requirements
Cyber Threats,countermeasure design for identified security risks
Cyber Threats,countermeasures for identified security risks
Information Technology and Forensics,Coverage of mapping of business objectives to technology objectives and solutions
Information Technology and Forensics,Covert Channels
Communication Architecture and Security,covert communication techniques
Analysis,"Create a forensically sound duplicate of the evidence (ie, forensic image) that ensures the original evidence is not unintentionally modified, to use for data recovery and analysis processes This includes, but is not limited to, hard drives, floppy diskettes, CDs, PDAs, mobile phones, GPS, and all tape formats"
Networking,Create an Audit Trail
Cyber Crime and Law,Create auditable evidence of security measures
Cyber Threats,Create comprehensive exploitation strategies that identify exploitable technical or operational vulnerabilities
Education/Teaching,Create interactive learning exercises to create an effective learning environment
Education/Teaching,Create training courses tailored to the audience and physical environment
Networking,"Create, edit, and manage network access control lists on specialized cyber defense systems (eg, firewalls and intrusion prevention systems)"
Networking,creating and extracting important information from packet captures
Programming Fundamentals,creating and utilizing mathematical or statistical models
Data Mining,creating collection requirements in support of data acquisition activities
Disaster Management,"creating plans in support of remote operations (ie, hot/warm/cold/alternative sites, disaster recovery)"
Cyber Crime and Law,"creating policies that enable systems to meet performance objectives (eg traffic routing, SLA's, CPU specifications)"
Cyber Crime and Law,creating policies that reflect system security objectives
Data Security,creating policies that reflect the business’s core privacy objectives
Programming Fundamentals,"creating programs that validate and process multiple inputs including command line arguments, environmental variables, and input streams"
Programming Fundamentals,Creation and operation of virtualization technology
Disaster Management,crisis action planning and time sensitive planning procedures
Cyber Threats,crisis action planning for cyber operations
Information Technology and Forensics,"crisis management protocols, processes, and techniques"
Data Mining,criteria for evaluating collection products
Information Technology and Forensics,critical information technology (IT) procurement requirements
Communication Architecture and Security,critical infrastructure systems with information communication technology that were designed without system security considerations
Cyber Threats,"criticality and vulnerability factors (eg, value, recuperation, cushion, countermeasures) for target selection and applicability to the cyber domain"
Information Technology and Forensics,Cross Layer Optimization
Analysis,Cross Log Comparison and Analysis
Analysis,Cryptanalysis
Encryption and Cryptography,Cryptographic failures Implementation failures
Analysis,"Cryptographic failures Types of Attacks (brute force, chosen plaintext, known plaintext, differential and linear cryptanalysis, etc)"
Encryption and Cryptography,cryptography and cryptographic key management concepts
Encryption and Cryptography,Cryptography in practice Common Cryptographic Protocols
Encryption and Cryptography,Cryptography in practice Cryptographic Modes (and their strengths and weaknesses)
Encryption and Cryptography,Cryptography in practice Cryptographic standards (FIPS 140 series)
Encryption and Cryptography,Cryptography in practice DES -> AES (evolution from DES to AES)
Encryption and Cryptography,"cryptologic capabilities, limitations, and contributions to cyber operations"
Encryption and Cryptography,cryptology
Cybersecurity Foundations,current and emerging cyber technologies
Database Systems,"current and emerging data encryption (eg, Column and Tablespace Encryption, file and disk encryption) security features in databases (eg built-in cryptographic key management features)"
Database Systems,current and emerging data remediation security features in databases
Cyber Threats,current and emerging threats/threat vectors
Data Mining,current collection requirements
Intrusion Detection Systems,current computer-based intrusion sets
Intrusion Detection Systems,"current industry methods for evaluating, implementing, and disseminating information technology (IT) security assessment, monitoring, detection, and remediation tools and procedures utilizing standards-based concepts and capabilities"
Software Development,current software and methodologies for active defense and system hardening
Software Development,customer information needs
Education/Teaching,"cyber actions (ie cyber defense, information gathering, environment preparation, cyber-attack) principles, capabilities, limitations, and effects"
Cyber Crime and Law,Cyber Assisted Crimes
Networking,"cyber attack stages (eg, reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks)"
Cyber Threats,"cyber attackers (eg, script kiddies, insider threat, non-nation state sponsored, and nation sponsored)"
Cyber Crime and Law,Cyber Bullying
Education/Teaching,"cyber competitions as a way of developing skills by providing hands-on experience in simulated, real-world situations"
Cyber Crime and Law,Cyber Crime Laws International Laws
Cyber Crime and Law,Cyber Crime Laws Treaties
Cyber Crime and Law,Cyber Crime Laws US Federal Laws
Cyber Crime and Law,Cyber Crime Types Espionage
Cyber Crime and Law,Cyber Crime Types Fraud and Financial
Cyber Crime and Law,Cyber Crime Types Intellectual Property
Cyber Crime and Law,Cyber Crime Types Intrusions
Cyber Crime and Law,Cyber Crime Types Ransomware
Cyber Threats,"cyber defense and information security policies, procedures, and regulations"
Cyber Threats,cyber defense and vulnerability assessment tools and their capabilities
Cyber Threats,"Cyber Defense Partnerships (Federal, State, Local, Industry) "
Data Mining,cyber intelligence/information collection capabilities and repositories
Cyber Crime and Law,cyber laws and legal considerations and their effect on cyber planning
Cyber Crime and Law,cyber laws and their effect on Cyber planning
Cybersecurity Foundations,cyber lexicon/terminology
Cyber Crime and Law,"cyber operation objectives, policies, and legalities"
Cyber Threats,cyber operations
Cyber Threats,cyber operations support or enabling processes
Cyber Threats,cyber operations terminology/lexicon
Cyber Threats,Cyber Stalking and Predators
Cyber Threats,Cyber Terrorism
Cyber Threats,cyber threats and vulnerabilities
Data Security,cybersecurity and privacy principles
Software Development,cybersecurity and privacy principles and methods that apply to software development
Data Security,"cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation, accountability, awareness, ethics)"
Cyber Threats,"cybersecurity and privacy principles used to manage risks related to the use, processing, storage, and transmission of information or data"
Cybersecurity Foundations,Cybersecurity and social responsibility
Software Development,cybersecurity-enabled software products
Cyber Crime and Law,data administration and data standardization policies
Data Security,data backup and recovery
Data Security,data backup and restoration concepts
Data Mining,"data carving tools and techniques (eg, Foremost, Scalpel, FTK, Encase, PhotoRec, Revit, TestDisk, Magic Rescue)"
Cyber Threats,data classification standards and methodologies based on sensitivity and other risk factors
Networking,"data communications terminology (eg, networking protocols, Ethernet, IP, encryption, optical devices, removable media)"
Encryption and Cryptography,data concealment (eg encryption algorithms and stenography)
Information Technology and Forensics,Data Driven Detection
Data Mining,data flow process for terminal or environment collection
Programming Fundamentals,Data Formats in languages
Data Mining,data mining and data warehousing principles
Data Mining,data mining techniques
Analysis,"data mining techniques (eg, searching file systems, Data cleaning and preparation, tracking patterns, classification, association, outlier detection, clustering, regression, prediction, sequential patterns, decision trees, statistical techniques, visualization, neural networks, data warehousing, long-term memory processing, machine learning and artificial intelligence) and analysis"
Information Technology and Forensics,Data Obfuscation
Cyber Crime and Law,Data Policies External
Cyber Crime and Law,Data Policies Internal
Data Mining,"data pre-processing (eg, imputation, dimensionality reduction, normalization, transformation, extraction, filtering, smoothing)"
Data Security,Data Protection
Data Security,"Data Security (in transmission, at rest, in processing) "
Data Security,Data storage and archiving Big Data (Hadoop / Mongo DB / HBASE)
Data Security,Data storage and archiving Data Warehousing
Data Security,Data storage and archiving Long Term Archival
Data Mining,Data/Information accessibility
Data Mining,Data/Information classification systems Classification authorities
Data Mining,Data/Information classification systems Classification criteria
Data Mining,Data/Information classification systems Classification/Declassification processes
Data Mining,Data/Information classification systems Level of classification
Data Mining,Data/Information classification systems Need to know
Data Security,Data/Information control Governance - How data should be managed and used
Data Security,Data/Information control Management - Providing the right data in the right place at the right time
Data Security,Data/Information control Ownership - Who information belongs to
Data Security,Data/Information control Possession - Data residing in a system
Data Security,Data/Information control Stewardship - Responsibility for assembling and protecting data
Data Security,Data/Information lifecycle Archival
Data Security,Data/Information lifecycle Capture/Acquisition
Data Security,Data/Information lifecycle Disposition/Purging
Data Security,Data/Information lifecycle Maintenance
Data Security,Data/Information lifecycle Publication/Distribution
Data Security,Data/Information lifecycle Synthesis/transformation/aggregation
Data Security,Data/Information lifecycle Usage
Data Security,"Data/Information Quality Accuracy, Completeness, relevance, consistency, integrity"
Data Security,Data/Information Quality Data cleansing
Data Security,Data/Information Quality Verification/V alidation
Encryption and Cryptography,"Data/Information Security (access control, encryption) "
Data Security,Data/Information utility
Database Systems,"database access application programming interfaces (eg, Java Database Connectivity [JDBC], Oracle Data Hubs)"
Database Systems,database administration and maintenance
Database Systems,"Database concepts Indexing, Inference, Aggregation, Polyinstantiation"
Database Systems,"database management systems, query languages, table relationships, and views"
Database Systems,"Database Security How to protect data (confidentiality, integrity and availability in a DBMS context)"
Database Systems,database systems
Data Security,database theory
Database Systems,"databases, portals and associated dissemination vehicles"
Software Development,debugging procedures and tools
Software Development,deconfliction processes and procedures
Software Development,deconfliction reporting to include external organization interaction
Data Mining,decrypt digital data collections
Encryption and Cryptography,Decrypt seized data using technical means
Analysis,"deep analysis of captured malicious code (eg, malware forensics)"
Networking,Deep Packet Inspection
Cyber Threats,Defense in Depth
Networking,defense-in-depth principles and network security architecture
Programming Fundamentals,"Defensive Programming Apply security practices to classes (Don’t allow external interfaces data changes by reference, Use context to determine data access, Support data updates verification, Authenticate)"
Programming Fundamentals,Defensive Programming Avoid information leakage through error messages
Cyber Threats,Defensive Programming Avoidance of risky coding constructs
Programming Fundamentals,Defensive Programming Catch and handle exceptions at the lowest level possible
Programming Fundamentals,Defensive Programming Cover all cases - use defaults to handle cases not explicitly covered
Programming Fundamentals,"Defensive Programming Input Validation, Type checking"
Communication Architecture and Security,Define and document how the implementation of a new system or new interfaces between systems impacts the security posture of the current environment
Disaster Management,Define and integrate current and future mission environments
Disaster Management,Define and prioritize essential system capabilities or business functions required for partial or full system restoration after a catastrophic failure event
Cyber Crime and Law,Define and/or implement policies and procedures to ensure protection of critical infrastructure as appropriate
Disaster Management,"Define appropriate levels of system availability based on critical system functions and ensure that system requirements identify appropriate disaster recovery and continuity of operations requirements to include any appropriate fail-over/alternate site requirements, backup requirements, and material supportability requirements for system recover/restoration"
Data Security,Define baseline security requirements in accordance with applicable guidelines
Software Development,Define project scope and objectives based on customer requirements
Information Technology and Forensics,Define the stakeholder protection needs and stakeholder security requirements
Cyber Threats,Define triggers within the continuous monitoring program that can be used to define unacceptable risk and result in action being taken to resolve
Information Technology and Forensics,defining and characterizing all pertinent aspects of the operational environment
Software Development,Defining and Enumerating Interfaces
Cyber Threats,Definition of “vulnerability”
Education/Teaching,Deliver training courses tailored to the audience and physical/virtual environments
Cyber Crime and Law,demilitarized zones
Cyber Threats,denial and deception techniques
Programming Fundamentals,Dependencies
Networking,depicting source or collateral data on a network map
Analysis,deploy continuous monitoring technologies and tools
Cyber Threats,"Deploy tools to a target and utilize them once deployed (eg, backdoors, sniffers)"
Information Technology and Forensics,deployable forensics
Software Development,"Deployment Models private, public, community, hybrid"
Software Development,Deployment/upgrade processes
Cyber Threats,"Describe and explain risk posture, risk appetite "
Data Security,Describe examples of the application of Security Principles: Encapsulation
Data Security,Describe examples of the application of Security Principles: Fail Safe Defaults / Fail Secure
Data Security,Describe examples of the application of Security Principles: Isolation
Data Security,Describe examples of the application of Security Principles: Layering
Data Security,Describe examples of the application of Security Principles: Least Astonishment
Data Security,Describe examples of the application of Security Principles: Least Privilege
Data Security,Describe examples of the application of Security Principles: Minimization (of implementation)
Data Security,Describe examples of the application of Security Principles: Modularity
Data Security,Describe examples of the application of Security Principles: Open Design
Cyber Threats,Describe examples of the application of Security Principles: Reduce attack surfaces
Data Security,Describe examples of the application of Security Principles: Separation (of domains)
Data Security,Describe examples of the application of Security Principles: Simplicity (of design)
Data Security,Describe examples of the application of Security Principles: Usability
Communication Architecture and Security,Describe the characteristics of a system
Cybersecurity Foundations,Design and develop cybersecurity or cybersecurity-enabled products
Cybersecurity Foundations,Design and develop key management functions (as related to cybersecurity)
Cybersecurity Foundations,Design and develop new tools/technologies as related to cybersecurity
Information Technology and Forensics,Design and develop system administration and management functionality for privileged access users
Software Development,Design and document quality standards
Communication Architecture and Security,design architectures and frameworks
Communication Architecture and Security,design capabilities to find solutions to less common and more complex system problems
Software Development,Design Choices
Programming Fundamentals,Design countermeasures and mitigations against potential exploitations of programming language weaknesses and vulnerabilities in system and elements
Cyber Crime and Law,"Design group policies and access control lists to ensure compatibility with organizational standards, business rules, and needs"
Operating Systems,"Design hardware, operating systems, and software applications to adequately address cybersecurity requirements"
Operating Systems,"Design hardware, operating systems, and software applications to adequately address requirements"
Disaster Management,design incident response for cloud service models
Programming Fundamentals,"design modeling and building use cases (eg, unified modeling language)"
Software Development,Design of testing
Information Technology and Forensics,"Design or integrate appropriate data backup capabilities into overall system designs, and ensure that appropriate technical and procedural processes exist for secure system backups and protected storage of backup data"
Software Development,Design reviews
Communication Architecture and Security,Design to security requirements to ensure requirements are met for all systems and/or applications
Education/Teaching,Design training curriculum and course content based on requirements
Software Development,design valid and reliable assessments
Information Technology and Forensics,"Design, build, implement, and maintain a knowledge management framework that provides end-users access to the organization’s intellectual capital"
Analysis,"Design, develop, and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design"
Communication Architecture and Security,"Design, develop, integrate, and update system security measures that provide confidentiality, integrity, availability, authentication, and non-repudiation"
Information Technology and Forensics,"Design, implement, test, and evaluate secure interfaces between information systems, physical systems, and/or embedded technologies"
Cyber Threats,"Design/integrate a cyber strategy that outlines the vision, mission, and goals that align with the organization’s strategic plan"
Information Technology and Forensics,Designate a qualified person to be responsible for the management and implementation of the continuous monitoring program
Analysis,"designing a data analysis structure (ie, the types of data a test must generate and how to analyze that data)"
Programming Fundamentals,designing and documenting overall program Test & Evaluation strategies
Cyber Threats,designing countermeasures to identified security risks
Data Security,designing multi-level security/cross domain solutions
Cybersecurity Foundations,designing security controls based on cybersecurity principles and tenets
Software Development,designing the integration of hardware and software solutions
Programming Fundamentals,"designing the integration of technology processes and solutions, including legacy systems and modern programming languages"
Encryption and Cryptography,"Detect and analyze encrypted data, stenography, alternate data streams and other forms of concealed data"
Intrusion Detection Systems,Detect exploits against targeted networks and hosts and react accordingly
Intrusion Detection Systems,"detecting host and network based intrusions via intrusion detection technologies (eg, Snort, Trend Micro TippingPoint Next-Generation Intrusion Prevention System (NGIPS), Cisco Firepower Next-Generation IPS (NGIPS), Check Point Intrusion Prevent System (IPS), Trellix Network Security, Hillstone S-Series Network Intrusion Prevention System (NIPS), NSFOCUS Next-Generation Intrusion Prevention System (NGIPS), Palo Alto Networks Threat Prevention, OSSEC HIDS, Alert Logic Managed Detection and Response (MDR), CrowdSec, SolarWinds Security Event Manager, Security Onion)"
Intrusion Detection Systems,Detecting Modification
Cyber Crime and Law,Determine and develop leads and identify sources of information to identify and/or prosecute the responsible parties to an intrusion or other crimes
Software Development,Determine and document software patches or the extent of releases that would leave software vulnerable
Data Security,Determine business partner requirements related to the organization’s privacy program
Intrusion Detection Systems,"Determine course of action for addressing changes to objectives, guidance, and operational environment"
Database Systems,"Determine existing collection management webpage databases, libraries and storehouses"
Communication Architecture and Security,"Determine how identified factors affect the tasking, collection, processing, exploitation and dissemination architecture's form and function"
Analysis,Determine how the continuous monitoring results will be used in ongoing authorization
Cyber Crime and Law,Determine how to integrate a continuous monitoring program into the organization’s broader information security governance structures and policies
Cyber Threats,"Determine if the risk from the operation or use of the system or the provision or use of common controls, is acceptable"
Cyber Threats,"Determine indicators (eg, measures of effectiveness) that are best suited to specific cyber operation objectives"
Software Development,Determine level of assurance of developed capabilities based on test results
Data Mining,Determine organizations and/or echelons with collection authority over all accessible collection assets
Communication Architecture and Security,"Determine scope, infrastructure, resources, and data sample size to ensure system requirements are adequately demonstrated"
Intrusion Detection Systems,"Determine tactics, techniques, and procedures (TTPs) for intrusion sets"
Communication Architecture and Security,Determine the boundary of a system
Cyber Threats,Determine the extent of threats and recommend courses of action or countermeasures to mitigate risks
Communication Architecture and Security,Determine the placement of a system within the enterprise architecture
Networking,"Determine the protection needs (ie, security controls) for the information system(s) and network(s) and document appropriately"
Cyber Threats,Determine the risk from the operation or use of a system or the provision or use of common controls
Data Mining,determine the validity of technology trend data
Data Mining,determine the validity of workforce trend data
Cyber Threats,Determine what technologies are used by a given target
Data Security,determine whether a security incident violates a privacy principle or legal standard requiring specific legal action
Communication Architecture and Security,determining an appropriate level of test rigor for a given system
Data Mining,determining appropriate targeting options through the evaluation of available capabilities against desired effects
Communication Architecture and Security,"determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes"
Operating Systems,determining installed patches on various operating systems and identifying patch signatures
Networking,determining the effect of various router and firewall configurations on traffic patterns and network performance in both LAN and WAN environments
Networking,determining the physical location of network devices
Programming Fundamentals,Deterministic and non-deterministic finite automata
Data Mining,Develop a method for comparing collection reports to outstanding requirements to identify information gaps
Cyber Crime and Law,"Develop a plan to investigate alleged crime, violation, or suspicious activity utilizing computers and the Internet"
Communication Architecture and Security,Develop a strategy for monitoring security control effectiveness; coordinate the system-level strategy with the organization and mission/business process-level monitoring strategy
Cybersecurity Foundations,"Develop a system security context, a preliminary system security Concept of Operations (CONOPS), and define baseline system security requirements in accordance with applicable cybersecurity requirements"
Analysis,Develop a trend analysis and impact report
Education/Teaching,Develop all-source intelligence targeting materials
Education/Teaching,Develop an understanding of the needs and requirements of information end-users
Education/Teaching,Develop and apply corrective action procedures
Cyber Threats,Develop and coordinate a risk management and compliance framework for privacy
Education/Teaching,Develop and deliver technical training to educate others or meet customer needs
Communication Architecture and Security,Develop and direct system testing and validation procedures and documentation
Education/Teaching,"Develop and document requirements, capabilities, and constraints for design procedures and processes"
Cyber Threats,"Develop and document supply chain risks for critical system elements, as appropriate"
Operating Systems,Develop and document systems administration standard operating procedures
Communication Architecture and Security,Develop and document User Experience (UX) requirements including information architecture and user interface requirements
Data Mining,Develop and facilitate data-gathering methods
Networking,Develop and implement cybersecurity independent audit processes for application software/networks/systems and oversee ongoing independent audits to ensure that operational and Research and Design (R&D) processes and procedures are in compliance with organizational and mandatory cybersecurity requirements and accurately followed by Systems Administrators and other cybersecurity staff when performing their day-to-day activities
Programming Fundamentals,Develop and implement data mining and data warehousing programs
Networking,Develop and implement network backup and recovery procedures
Cyber Threats,Develop and implement standardized position descriptions based on established cyber work roles
Education/Teaching,"Develop and maintain appropriate communications and training to promote and educate all workforce members and members of the Board regarding privacy compliance issues and requirements, and the consequences of noncompliance"
Disaster Management,Develop and maintain deliberate and/or crisis plans
Education/Teaching,Develop and maintain strategic plans
Data Security,Develop and manage enterprise-wide procedures to ensure the development of new products and services is consistent with company privacy policies and legal obligations
Data Security,Develop and manage procedures for vetting and auditing vendors for compliance with the privacy and data security policies and legal requirements
Cyber Threats,Develop and review intelligence guidance for integration into supporting cyber operations planning and execution
Cyber Crime and Law,"Develop and review recruiting, hiring, and retention procedures in accordance with current HR policies"
Cyber Threats,Develop and review specific cyber operations guidance for integration into broader planning activities
Data Security,Develop appropriate sanctions for failure to comply with the corporate privacy policies and procedures
Communication Architecture and Security,Develop architectures or system components consistent with technical specifications
Education/Teaching,develop career path opportunities
Education/Teaching,develop clear directions and instructional materials
Cyber Threats,Develop content for cyber defense tools
Networking,"Develop contract language to ensure supply chain, system, network, and operational security are met"
Data Mining,Develop coordinating instructions by collection discipline for each phase of an operation
Communication Architecture and Security,Develop cost estimates for new or modified system(s)
Education/Teaching,develop curriculum for use within a virtual environment
Education/Teaching,develop curriculum that speaks to the topic at the appropriate level for the target audience
Cyber Threats,Develop cyber career field classification structure to include establishing career field entry requirements and other nomenclature such as codes and identifiers
Cyber Threats,Develop cyber operations plans and guidance to ensure that execution and resource allocation decisions align with organization objectives
Networking,"Develop cybersecurity designs to meet specific operational needs and environmental factors (eg, access controls, automated applications, networked operations, high integrity and availability requirements, multilevel security/processing of multiple classification levels, and processing Sensitive Compartmented Information)"
Encryption and Cryptography,"Develop data management capabilities (eg, cloud-based, centralized cryptographic key management) to include support to the mobile workforce"
Cyber Crime and Law,"Develop data standards, policies, and procedures"
Networking,"Develop designs to meet specific operational needs and environmental factors (eg, access controls, automated applications, networked operations"
Communication Architecture and Security,Develop detailed design documentation for component and interface specifications to support system design and development
Cyber Threats,Develop detailed intelligence support to cyber operations requirements
Communication Architecture and Security,Develop detailed security design documentation for component and interface specifications to support system design and development
Disaster Management,Develop Disaster Recovery and Continuity of Operations plans for systems under development and ensure testing prior to systems entering a production environment
Communication Architecture and Security,Develop enterprise architecture or system components required to meet user needs
Education/Teaching,Develop guidelines for implementation
Education/Teaching,Develop information requirements necessary for answering priority information requests
Education/Teaching,Develop measures of effectiveness and measures of performance
Cyber Threats,"Develop methods to monitor and measure risk, compliance, and assurance efforts"
Cyber Threats,"Develop mitigation strategies to address cost, schedule, performance, and security risks"
Education/Teaching,Develop munitions effectiveness assessment or operational assessment materials
Education/Teaching,Develop new or identify existing awareness and training materials that are appropriate for intended audiences
Communication Architecture and Security,Develop new techniques for gaining and keeping access to target systems
Education/Teaching,Develop or assist in the development of computer based training modules or classes
Education/Teaching,Develop or assist in the development of course assignments
Analysis,Develop or assist in the development of course evaluations
Education/Teaching,Develop or assist in the development of grading and proficiency standards
Education/Teaching,Develop or assist in the development of learning objectives and goals
Education/Teaching,Develop or assist in the development of on-the-job training materials or programs
Education/Teaching,Develop or assist in the development of training policies and protocols for cyber training
Education/Teaching,Develop or assist in the development of written tests for measuring and assessing learner proficiency
Education/Teaching,"Develop or assist with the development of privacy training materials and other communications to increase employee understanding of company privacy policies, data handling practices and procedures and legal obligations"
Cyber Threats,"Develop or participate in the development of standards for providing, requesting, and/or obtaining support from external partners to synchronize cyber operations"
Education/Teaching,develop or procure curriculum that speaks to the topic at the appropriate level for the target
Analysis,develop or recommend analytic approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists
Education/Teaching,develop or recommend planning solutions to problems and situations for which no precedent exists
Cyber Crime and Law,"Develop or shape international cyber engagement strategies, policies, and activities to meet organization objectives"
Cyber Crime and Law,"develop policy, plans, and strategy in compliance with laws, regulations, policies, and standards in support of organizational cyber activities"
Cyber Crime and Law,"Develop policy, programs, and guidelines for implementation"
Education/Teaching,Develop potential courses of action
Education/Teaching,"Develop privacy training materials and other communications to increase employee understanding of company privacy policies, data handling practices and procedures and legal obligations"
Communication Architecture and Security,Develop procedures and test fail-over for system operations transfer to an alternate site based on system availability requirements
Data Mining,"Develop procedures for providing feedback to collection managers, asset managers, and processing, exploitation and dissemination centers"
Disaster Management,Develop processes and procedures for incident response
Programming Fundamentals,Develop processes with the external audit group on how to share information regarding the continuous monitoring program and its impact on security control assessment
Cyber Threats,Develop risk mitigation strategies to resolve vulnerabilities and recommend security changes to system or system components as needed
Programming Fundamentals,Develop secure code and error handling
Software Development,"develop secure software according to secure software deployment methodologies, tools, and practices"
Software Development,Develop secure software testing and validation procedures
Cyber Crime and Law,"Develop security compliance processes and/or audits for external services (eg, cloud service providers, data centers)"
Software Development,"Develop software system testing and validation procedures, programming, and documentation"
Cyber Threats,Develop specific cybersecurity countermeasures and risk mitigation strategies for systems and/or applications
Networking,"Develop specifications to ensure that risk, compliance, and assurance efforts conform with security, resilience, and dependability requirements at the software application, system, and network environment level"
Data Mining,Develop strategic insights from large data sets
Education/Teaching,"Develop strategy and processes for partner planning, operations, and capability development"
Networking,"Develop supply chain, system, network, performance, and cybersecurity requirements"
Programming Fundamentals,"Develop system testing and validation procedures, programming, and documentation"
Software Development,Develop test plans to address specifications and requirements
Cyber Threats,Develop the goals and objectives for cyber curriculum
Cyber Threats,Develop threat model based on customer interviews and requirements
Cyber Crime and Law,"Develop, implement, and recommend changes to appropriate planning procedures and policies"
Cyber Threats,"Develop, maintain, and assess cyber cooperation security agreements with external partners"
Cyber Threats,"Develop, review and implement all levels of planning guidance in support of cyber operations"
Communication Architecture and Security,"Develop, review, and approve a plan to assess the security controls in a system and the organization"
Operating Systems,"develop, update, and/or maintain standard operating procedures (SOPs)"
Networking,"Develop/integrate cybersecurity designs for systems and networks with multilevel security requirements or requirements for the processing of multiple classification levels of data primarily applicable to government organizations (eg, UNCLASSIFIED, SECRET, and TOP SECRET)"
Communication Architecture and Security,developing and applying security system access controls
Information Technology and Forensics,developing and applying user credential management system
Software Development,developing and deploying signatures
Cyber Threats,developing and executing comprehensive cyber operations assessment programs for assessing and validating operational performance characteristics
Education/Teaching,developing and executing technical training programs and curricula
Software Development,"developing applications that can log and handle errors, exceptions, and application faults and logging"
Data Mining,developing data dictionaries
Data Mining,developing data models
Information Technology and Forensics,developing intelligence reports
Software Development,developing machine understandable semantic ontologies
Software Development,developing operations-based testing scenarios
Analysis,developing or recommending analytic approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists
Software Development,developing workforce and position qualification standards
Networking,"developing, testing, and implementing network infrastructure contingency and recovery plans"
Software Development,Development Processes and Paradigms
Cyber Threats,Developmental Threats
Operating Systems,Devices without operating systems
Cyber Threats,"Devise, document, and validate cyber operation strategy and planning documents"
Disaster Management,"Diagnose and resolve customer reported system incidents, problems, and events"
Information Technology and Forensics,Diagnose faulty system/server hardware
Networking,Diagnose network connectivity problem
Networking,diagnosing connectivity problems
Cyber Threats,"different classes of attacks (eg, passive, active, insider, close-in, distribution attacks)"
Cybersecurity Foundations,"different organization objectives at all levels, including subordinate, lateral and higher"
Networking,"different types of network communication (eg, LAN, WAN, MAN, WLAN, WWAN)"
Programming Fundamentals,Different types of systems programs Development environments
Programming Fundamentals,Different types of systems programs Device Drivers
Programming Fundamentals,Different types of systems programs Gaming engines
Networking,Different types of systems programs Networking Functions
Operating Systems,Different types of systems programs Operating Systems
Programming Fundamentals,Different types of systems programs Storage Frameworks
Programming Fundamentals,Different types of systems programs Utilities
Information Technology and Forensics,"Differentiate and provided examples of Operational, Tactical, and Strategic Planning and Management "
Information Technology and Forensics,Digital Forensics in virtual environments
Cyber Crime and Law,Digital Investigations Authentication of Evidence
