INDEX,TIER1 JOB,TIER2 JOB,TIER3 JOB,SKILL
K0324,Intrusion Detection Systems,,,Knowledge of Intrusion Detection System (IDS)/Intrusion Prevention System (IPS) tools and applications.
K0325,Cybersecurity Foundations,,,"Knowledge of Information Theory (e.g., source coding, channel coding, algorithm complexity theory, and data compression)."
K0326,Cyber Crime and Law,,,Knowledge of demilitarized zones.
K0330,Systems Architecture,,,Knowledge of successful capabilities to identify the solutions to less common and more complex system problems.
K0332,Networking,,,"Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services."
K0333,Networking,,,"Knowledge of network design processes, to include understanding of security objectives, operational objectives, and trade-offs."
K0334,Analysis,,,"Knowledge of network traffic analysis (tools, methodologies, processes)."
K0335,Cybersecurity Foundations,,,Knowledge of current and emerging cyber technologies.
K0336,Data Security,,,Knowledge of access authentication methods.
K0338,Data Mining,,,Knowledge of data mining techniques.
K0339,Analysis,,,Knowledge of how to use network analysis tools to identify vulnerabilities.
K0341,Cyber Crime and Law,,,Knowledge of foreign disclosure policies and import/export control regulations as related to cybersecurity.
K0342,Cyber Threats,Ethical Hacking,,"Knowledge of penetration testing principles, tools, and techniques."
K0343,Analysis,,,Knowledge of root cause analysis techniques.
K0344,Cyber Threats,,,Knowledge of an organization’s threat environment.
K0346,Software Development,,,Knowledge of principles and methods for integrating system components.
K0347,Software Development,,,Knowledge and understanding of operational design.
K0349,Systems Architecture,Web Dev,,"Knowledge of website types, administration, functions, and content management system (CMS)."
K0350,IT Management/Services,,,Knowledge of accepted organization planning systems.
K0351,Cyber Crime and Law,,,"Knowledge of applicable statutes, laws, regulations and policies governing cyber targeting and exploitation."
K0352,Forensics,,,"Knowledge of forms of intelligence support needs, topics, and focus areas."
K0353,Data Mining,,,Knowledge of possible circumstances that would result in changing collection management authorities.
K0354,Disaster Management,,,Knowledge of relevant reporting and dissemination procedures.
K0355,Disaster Management,,,Knowledge of all-source reporting and dissemination procedures.
K0356,Analysis,,,"Knowledge of analytic tools and techniques for language, voice and/or graphic material."
K0357,Analysis,,,Knowledge of analytical constructs and their use in assessing the operational environment.
K0358,Analysis,,,Knowledge of analytical standards and the purpose of intelligence confidence levels.
K0359,Disaster Management,,,Knowledge of approved intelligence dissemination processes.
K0361,Data Mining,,,"Knowledge of asset availability, capabilities and limitations."
K0362,Cyber Threats,Ethical Hacking,,"Knowledge of attack methods and techniques (DDoS, brute force, spoofing, phishing, man-in-the-middle, sql injection, apt, zero-day exploit, etc.)."
K0363,Analysis,,,"Knowledge of auditing and logging procedures (including server-based logging, user ID, terminal ID, network access)."
K0364,Database Systems,,,Knowledge of available databases and tools necessary to assess appropriate collection tasking.
K0367,Cyber Threats,Ethical Hacking,,Knowledge of penetration testing.
K0368,Data Mining,,,Knowledge of implants that enable cyber collection and/or preparation activities.
K0371,Data Mining,,,"Knowledge of principles of the collection development processes (e.g., Dialed Number Recognition, Social Network Analysis)."
K0372,Programming Languages,,,"Knowledge of programming concepts (e.g., levels, structures, compiled vs. interpreted languages)."
K0373,Software Development,,,"Knowledge of basic software applications (e.g., data storage and backup, database applications) and the types of vulnerabilities that have been found in those applications."
K0375,Networking,Wireless Systems,,Knowledge of wireless applications vulnerabilities.
K0376,Data Mining,,,"Knowledge of internal and external customers and partner organizations, including information needs, objectives, structure, capabilities, etc."
K0377,Data Mining,,,"Knowledge of classification and control markings standards, policies and procedures."
K0379,Data Mining,,,"Knowledge of client organizations, including information needs, objectives, structure, capabilities, etc."
K0380,Cybersecurity Foundations,,,Knowledge of collaborative tools and environments.
K0381,Disaster Management,,,Knowledge of collateral damage and estimating impact(s).
K0382,Data Mining,,,Knowledge of collection capabilities and limitations.
K0383,Data Mining,,,"Knowledge of collection capabilities, accesses, performance specifications, and constraints utilized to satisfy collection plan."
K0384,Data Mining,,,"Knowledge of collection management functionality (e.g., positions, functions, responsibilities, products, reporting requirements)."
K0386,Data Mining,,,Knowledge of collection management tools.
K0387,Data Mining,,,Knowledge of collection planning process and collection plan.
K0388,Communication Architecture and Security,,,"Knowledge of collection searching/analyzing techniques and tools for chat/buddy list, emerging technologies, VOIP, Media Over IP, VPN, VSAT/wireless, web mail and cookies."
K0389,Data Mining,,,Knowledge of collection sources including conventional and non-conventional sources.
K0390,Data Mining,,,Knowledge of collection strategies.
K0391,Data Mining,,,"Knowledge of collection systems, capabilities, and processes."
K0392,Cyber Threats,,,"Knowledge of common computer/network infections (virus, Trojan, etc.) and methods of infection (ports, attachments, etc.)."
K0393,Networking,,,Knowledge of common networking devices and their configurations.
K0394,Database Systems,,,Knowledge of common reporting databases and tools.
K0395,Networking,,,"Knowledge of computer networking fundamentals (i.e., basic computer components of a network, types of networks, etc.)."
K0396,Programming Languages,,,"Knowledge of computer programming concepts, including computer languages, programming, testing, debugging, and file types."
K0397,Operating Systems,,,"Knowledge of security concepts in operating systems (e.g., Linux, Unix, Windows, iOS, Android, ChromeOS, macOS, Ubuntu)"
K0398,Systems Architecture,Web Dev,,"Knowledge of concepts related to websites (e.g., web servers/pages, hosting, DNS, registration, web languages such as HTML, Javascript, CSS)."
K0399,Disaster Management,,,Knowledge of crisis action planning and time sensitive planning procedures.
K0400,Disaster Management,,,Knowledge of crisis action planning for cyber operations.
K0401,Data Mining,,,Knowledge of criteria for evaluating collection products.
K0402,Cyber Threats,,,"Knowledge of criticality and vulnerability factors (e.g., value, recuperation, cushion, countermeasures) for target selection and applicability to the cyber domain."
K0403,Encryption and Cryptography,,,"Knowledge of cryptologic capabilities, limitations, and contributions to cyber operations."
K0404,Data Mining,,,Knowledge of current collection requirements.
K0405,Intrusion Detection Systems,,,Knowledge of current computer-based intrusion sets.
K0406,Intrusion Detection Systems,,,Knowledge of current software and methodologies for active defense and system hardening.
K0407,Data Mining,,,Knowledge of customer information needs.
K0408,Cybersecurity Foundations,,,"Knowledge of cyber actions (i.e. cyber defense, information gathering, environment preparation, cyber-attack) principles, capabilities, limitations, and effects."
K0409,Data Mining,,,Knowledge of cyber intelligence/information collection capabilities and repositories.
K0410,Cyber Crime and Law,,,Knowledge of cyber laws and their effect on Cyber planning.
K0411,Cyber Crime and Law,,,Knowledge of cyber laws and legal considerations and their effect on cyber planning.
K0412,Cybersecurity Foundations,,,Knowledge of cyber lexicon/terminology
K0413,Cyber Crime and Law,,,"Knowledge of cyber operation objectives, policies, and legalities."
K0414,Cybersecurity Foundations,,,Knowledge of cyber operations support or enabling processes.
K0415,Cybersecurity Foundations,,,Knowledge of cyber operations terminology/lexicon.
K0416,Cybersecurity Foundations,,,Knowledge of cyber operations.
K0417,Communication Architecture and Security,,,"Knowledge of data communications terminology (e.g., networking protocols, Ethernet, IP, encryption, optical devices, removable media)."
K0418,Data Mining,,,Knowledge of data flow process for terminal or environment collection.
K0419,Database Systems,,,Knowledge of database administration and maintenance.
K0420,Database Systems,,,Knowledge of database theory.
K0421,Database Systems,,,"Knowledge of databases, portals and associated dissemination vehicles."
K0422,Cyber Threats,,,Knowledge of deconfliction processes and procedures.
K0423,Disaster Management,,,Knowledge of deconfliction reporting to include external organization interaction.
K0424,Cyber Threats,,,Knowledge of denial and deception techniques.
K0425,Cybersecurity Foundations,,,"Knowledge of different organization objectives at all levels, including subordinate, lateral and higher."
K0426,Cybersecurity Foundations,,,Knowledge of dynamic and deliberate targeting.
K0427,Encryption and Cryptography,,,"Knowledge of encryption algorithms and cyber capabilities/tools (e.g., SSL, PGP, Triple DES, AES, RSA, Blowfish, Twofish)."
K0428,Encryption and Cryptography,,,Knowledge of encryption algorithms and tools for wireless local area networks (WLANs).
K0429,IT Management/Services,,,Knowledge of enterprise-wide information management.
K0430,Cyber Threats,,,Knowledge of evasion strategies and techniques.
K0431,Communication Architecture and Security,,,Knowledge of evolving/emerging communications technologies.
K0432,Cyber Threats,,,"Knowledge of existing, emerging, and long-range issues related to cyber operations strategy, policy, and organization."
K0433,Forensics,,,Knowledge of forensic implications of operating system structure and operations.
K0435,Cybersecurity Foundations,,,"Knowledge of fundamental cyber concepts, principles, limitations, and effects."
K0436,Cybersecurity Foundations,,,"Knowledge of fundamental cyber operations concepts, terminology/lexicon (i.e., environment preparation, cyber-attack, cyber defense), principles, capabilities, limitations, and effects."
K0437,Programming Languages,,,Knowledge of general Supervisory control and data acquisition (SCADA) system components.
K0438,Communication Architecture and Security,,,"Knowledge of mobile cellular communications architecture (e.g., LTE, CDMA, GSM/EDGE and UMTS/HSPA)."
K0439,Cyber Crime and Law,,,Knowledge of governing authorities for targeting.
K0440,Cyber Threats,,,Knowledge of host-based security products and how those products affect exploitation and reduce vulnerability.
K0442,Cybersecurity Foundations,,,"Knowledge of how converged technologies impact cyber operations (e.g., digital, telephony, wireless, wired)."
K0443,Networking,,,"Knowledge of how hubs, switches, routers work together in the design of a network."
K0444,Communication Architecture and Security,,,"Knowledge of how Internet applications work (SMTP email, web-based email, chat clients, VOIP)."
K0445,Communication Architecture and Security,,,Knowledge of how modern digital and telephony networks impact cyber operations.
K0446,Communication Architecture and Security,Wireless Systems,,Knowledge of how modern wireless communications systems impact cyber operations.
K0447,Communication Architecture and Security,,,"Knowledge of how to collect, view, and identify essential information on targets of interest from metadata (e.g., email, http, PII, cookies)."
K0448,Data Mining,,,Knowledge of how to establish priorities for resources.
K0449,Data Mining,,,"Knowledge of how to extract, analyze, and use metadata."
K0451,IT Management/Services,,,Knowledge of identification and reporting processes.
K0452,Operating Systems,,,"Knowledge of implementing Unix and Windows systems that provide radius authentication and logging, DNS, mail, web service, FTP server, DHCP, firewall, and SNMP."
K0453,Forensics,,,Knowledge of indications and warning.
K0454,Data Mining,,,Knowledge of information needs.
K0455,Data Security,,,"Knowledge of information security concepts, facilitating technologies and methods."
K0456,Forensics,,,Knowledge of intelligence capabilities and limitations.
K0457,Data Security,,,Knowledge of intelligence confidence levels.
K0458,Forensics,,,Knowledge of intelligence disciplines.
K0459,Cyber Crime and Law,,,"Knowledge of intelligence employment requirements (i.e., logistical, communications support, maneuverability, legal restrictions, etc.)."
K0460,Forensics,,,Knowledge of intelligence preparation of the environment and similar processes.
K0461,Forensics,,,Knowledge of intelligence production processes.
K0462,Data Mining,,,"Knowledge of intelligence reporting principles, policies, procedures, and vehicles, including report formats, reportability criteria (requirements and priorities), dissemination practices, and legal authorities and restrictions."
K0463,Data Mining,,,Knowledge of intelligence requirements tasking systems.
K0464,Data Mining,,,"Knowledge of intelligence support to planning, execution, and assessment."
K0465,Cybersecurity Foundations,,,Knowledge of internal and external partner cyber operations capabilities and tools.
K0466,Forensics,,,Knowledge of internal and external partner intelligence processes and the development of information requirements and essential information.
K0467,Forensics,,,"Knowledge of internal and external partner organization capabilities and limitations (those with tasking, collection, processing, exploitation and dissemination responsibilities)."
K0468,Cybersecurity Foundations,Technical Writing,,Knowledge of internal and external partner reporting.
K0469,Cyber Threats,,,Knowledge of internal tactics to anticipate and/or emulate threat capabilities and actions.
K0470,Networking,,,Knowledge of Internet and routing protocols.
K0471,Networking,,,"Knowledge of Internet network addressing (IP addresses, classless inter-domain routing, TCP/UDP port numbering)."
K0472,Intrusion Detection Systems,,,Knowledge of intrusion detection systems and signature development.
K0473,Intrusion Detection Systems,,,Knowledge of intrusion sets.
K0474,Cyber Threats,,,Knowledge of key cyber threat actors and their equities.
K0475,Cyber Threats,,,Knowledge of key factors of the operational environment and threat.
K0476,Cybersecurity Foundations,,,Knowledge of language processing tools and techniques.
K0477,IT Management/Services,,,Knowledge of leadership's Intent and objectives.
K0478,Cyber Crime and Law,,,Knowledge of legal considerations in targeting.
K0479,Analysis,,,Knowledge of malware analysis and characteristics.
K0480,Cyber Threats,,,Knowledge of malware.
K0481,Forensics,,,Knowledge of methods and techniques used to detect various exploitation activities.
K0482,Data Mining,,,Knowledge of methods for ascertaining collection asset posture and availability.
K0483,Data Mining,,,Knowledge of methods to integrate and summarize information from any potential sources.
K0484,Data Mining,,,"Knowledge of midpoint collection (process, objectives, organization, targets, etc.)."
K0485,Networking,,,Knowledge of network administration.
K0486,Networking,,,Knowledge of network construction and topology.
K0487,Networking,,,"Knowledge of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection)."
K0488,Networking,,,"Knowledge of network security implementations (e.g., host-based IDS, IPS, access control lists), including their function and placement in a network."
K0489,Networking,,,Knowledge of network topology.
K0491,Communication Architecture and Security,,,"Knowledge of networking and Internet communications fundamentals (i.e. devices, device configuration, hardware, software, applications, ports/protocols, addressing, network architecture and infrastructure, routing, operating systems, etc.)."
K0492,Data Mining,,,Knowledge of non-traditional collection methodologies.
K0493,Encryption and Cryptography,,,"Knowledge of obfuscation techniques (e.g., TOR/Onion/anonymizers, VPN/VPS, encryption, renaming, packing, control flow, dummy code insertion, metadata removal, anti-debug)."
K0494,Data Mining,,,"Knowledge of objectives, situation, operational environment, and the status and disposition of internal and external partner collection capabilities available to support planning."
K0495,IT Management/Services,,,Knowledge of ongoing and future operations.
K0496,Data Security,,,Knowledge of operational asset constraints.
K0497,IT Management/Services,,,Knowledge of operational effectiveness assessment.
K0498,IT Management/Services,,,Knowledge of operational planning processes.
K0499,Data Security,,,Knowledge of operations security.
K0500,Data Mining,,,"Knowledge of organization and/or partner collection systems, capabilities, and processes (e.g., collection and protocol processors)."
K0501,Cybersecurity Foundations,,,"Knowledge of organization cyber operations programs, strategies, and resources."
K0502,Forensics,,,Knowledge of organization decision support tools and/or methods.
K0503,Data Mining,,,"Knowledge of organization formats of resource and asset readiness reporting, its operational relevance and intelligence collection impact."
K0504,Cyber Crime and Law,,,"Knowledge of organization issues, objectives, and operations in cyber as well as regulations and policy directives governing cyber operations."
K0505,Data Mining,,,Knowledge of organization objectives and associated demand on collection management.
K0506,Cybersecurity Foundations,,,"Knowledge of organization objectives, leadership priorities, and decision-making risks."
K0507,Cyber Threats,Ethical Hacking,,Knowledge of organization or partner exploitation of digital networks.
K0508,Cyber Crime and Law,,,Knowledge of organization policies and planning concepts for partnering with internal and/or external organizations.
K0509,Forensics,,,"Knowledge of organizational and partner authorities, responsibilities, and contributions to achieving objectives."
K0510,Cyber Crime and Law,,,"Knowledge of organizational and partner policies, tools, capabilities, and procedures."
K0511,Cybersecurity Foundations,,,Knowledge of organizational hierarchy and cyber decision-making processes.
K0512,IT Management/Services,,,Knowledge of organizational planning concepts.
K0513,Cyber Crime and Law,,,"Knowledge of organizational priorities, legal authorities and requirements submission processes."
K0514,Systems Architecture,,,Knowledge of organizational structures and associated intelligence capabilities.
K0516,Networking,,,"Knowledge of physical and logical network devices and infrastructure to include hubs, switches, routers, firewalls, etc."
K0517,Software Development,,,Knowledge of post implementation review (PIR) approval process.
K0518,Software Development,,,Knowledge of planning activity initiation.
K0519,Software Development,,,"Knowledge of planning timelines adaptive, crisis action, and time-sensitive planning."
K0520,Communication Architecture and Security,,,"Knowledge of principles and practices related to target development such as target knowledge, associations, communication systems, and infrastructure."
K0521,Data Mining,,,"Knowledge of priority information, how it is derived, where it is published, how to access, etc."
K0522,Systems Architecture,,,Knowledge of production exploitation and dissemination needs and architectures.
K0523,Intrusion Detection Systems,,,"Knowledge of products and nomenclature of major vendors (e.g., security suites - Trend Micro, Symantec, McAfee, Outpost, and Panda) and how those products affect exploitation and reduce vulnerabilities."
K0524,Cyber Crime and Law,,,"Knowledge of relevant laws, regulations, and policies."
K0525,Cybersecurity Foundations,,,Knowledge of required intelligence planning products associated with cyber operational planning.
K0526,Education/Teaching,,,Knowledge of research strategies and knowledge management.
K0527,Disaster Management,,,Knowledge of risk management and mitigation strategies.
K0528,Communication Architecture and Security,,,Knowledge of satellite-based communication systems.
K0529,Programming Languages,,,Knowledge of scripting
K0530,Data Security,,,"Knowledge of security hardware and software options, including the network artifacts they induce and their effects on exploitation."
K0531,Data Security,,,Knowledge of security implications of software configurations.
K0532,Cybersecurity Foundations,Technical Writing,,"Knowledge of specialized target language (e.g., acronyms, jargon, technical terminology, code words)."
K0533,Forensics,,,"Knowledge of specific target identifiers, and their usage."
K0534,IT Management/Services,,,"Knowledge of staff management, assignment, and allocation processes."
K0535,Education/Teaching,Technical Writing,,Knowledge of strategies and tools for target research.
K0536,Analysis,,,"Knowledge of structure, approach, and strategy of exploitation tools (e.g., sniffers, keyloggers, injectors, scanners, fingerprinters) and techniques (e.g., gaining backdoor access, collecting/exfiltrating data, conducting vulnerability analysis of other systems in the network)."
K0538,Cyber Threats,,,"Knowledge of target and threat organization structures, critical capabilities, and critical vulnerabilities"
K0539,Communication Architecture and Security,,,"Knowledge of target communication profiles and their key elements (e.g., target associations, activities, communication infrastructure)."
K0540,Forensics,,,Knowledge of target communication tools and techniques.
K0541,Cybersecurity Foundations,,,"Knowledge of target cultural references, dialects, expressions, idioms, and abbreviations."
K0542,Forensics,,,"Knowledge of target development (i.e., concepts, roles, responsibilities, products, etc.)."
K0543,IT Management/Services,,,Knowledge of target estimated repair and recuperation times.
K0544,Forensics,,,Knowledge of target intelligence gathering and operational preparation techniques and life cycles.
K0545,Programming Languages,,,Knowledge of target language(s).
K0546,Forensics,,,"Knowledge of target list development (i.e. Restricted, Joint, Candidate, etc.)."
K0547,Cybersecurity Foundations,,,Knowledge of target methods and procedures.
K0548,Cyber Threats,,,Knowledge of target or threat cyber actors and procedures.
K0549,Data Mining,,,Knowledge of target vetting and validation procedures.
K0550,Cybersecurity Foundations,,,"Knowledge of target, including related current events, communication profile, actors, and history (language, culture) and/or frame of reference."
K0551,Forensics,,,Knowledge of targeting cycles.
K0552,Data Mining,,,Knowledge of tasking mechanisms.
K0553,Data Mining,,,Knowledge of tasking processes for organic and subordinate collection assets.
K0554,Data Mining,,,"Knowledge of tasking, collection, processing, exploitation and dissemination."
K0555,Networking,,,Knowledge of TCP/IP networking protocols.
K0556,Communication Architecture and Security,,,Knowledge of telecommunications fundamentals.
K0557,Data Mining,,,"Knowledge of terminal or environmental collection (process, objectives, organization, targets, etc.)."
K0558,Data Mining,,,Knowledge of the available tools and applications associated with collection requirements and collection management.
K0559,Software Development,,,"Knowledge of the basic structure, architecture, and design of converged applications."
K0560,Communication Architecture and Security,,,"Knowledge of the basic structure, architecture, and design of modern communication networks."
K0561,Communication Architecture and Security,,,"Knowledge of the basics of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection)."
K0562,Data Mining,,,"Knowledge of the capabilities and limitations of new and emerging collection capabilities, accesses and/or processes."
K0563,Data Mining,,,"Knowledge of the capabilities, limitations and tasking methodologies of internal and external collections as they apply to planned cyber activities."
K0564,Communication Architecture and Security,,,"Knowledge of the characteristics of targeted communication networks (e.g., capacity, functionality, paths, critical nodes)."
K0565,Networking,,,"Knowledge of the common networking and routing protocols (e.g. TCP/IP), services (e.g., web, mail, DNS), and how they interact to provide network communications."
K0566,Software Development,,,Knowledge of the critical information requirements and how they're used in planning.
K0567,Data Mining,,,Knowledge of the data flow from collection origin to repositories and tools.
K0568,Data Mining,,,Knowledge of the definition of collection management and collection management authority.
K0569,Data Mining,,,"Knowledge of the existent tasking, collection, processing, exploitation and dissemination architecture."
K0570,Cyber Threats,,,Knowledge of the factors of threat that could impact collection operations.
K0571,Data Mining,,,Knowledge of the feedback cycle in collection processes.
K0572,Cyber Threats,,,Knowledge of the functions and capabilities of internal teams that emulate threat activities to benefit the organization.
K0573,Forensics,,,Knowledge of the fundamentals of digital forensics to extract actionable intelligence.
K0574,Analysis,,,Knowledge of the impact of language analysis on on-net operator functions.
K0575,Forensics,,,Knowledge of the impacts of internal and external partner staffing estimates.
K0576,Data Mining,,,Knowledge of the information environment.
K0577,Systems Architecture,,,"Knowledge of the intelligence frameworks, processes, and related systems."
K0578,Software Development,,,Knowledge of the intelligence requirements development and request for information processes.
K0579,Cybersecurity Foundations,,,"Knowledge of the organization, roles and responsibilities of higher, lower and adjacent sub elements."
K0580,Data Mining,,,Knowledge of the organization’s established format for collection plan.
K0581,IT Management/Services,,,"Knowledge of the organization’s planning, operations and targeting cycles."
K0582,IT Management/Services,,,Knowledge of the organizational planning and staffing process.
K0583,IT Management/Services,,,Knowledge of the organizational plans/directives/guidance that describe objectives.
K0584,Cyber Crime and Law,,,Knowledge of the organizational policies/procedures for temporary transfer of collection authority.
K0585,Cybersecurity Foundations,,,"Knowledge of the organizational structure as it pertains to full spectrum cyber operations, including the functions, responsibilities, and interrelationships among distinct internal elements."
K0586,Analysis,,,Knowledge of the outputs of course of action and exercise analysis.
K0587,Database Systems,,,"Knowledge of the POC’s, databases, tools and applications necessary to establish environment preparation and surveillance products."
K0588,Cybersecurity Foundations,,,"Knowledge of the priority information requirements from subordinate, lateral and higher levels of the organization."
K0589,Analysis,,,Knowledge of the process used to assess the performance and impact of operations.
K0590,Data Security,,,Knowledge of the processes to synchronize operational assessment procedures with the critical information requirement process.
K0591,Analysis,,,Knowledge of the production responsibilities and organic analysis and production capabilities.
K0592,Cybersecurity Foundations,,,Knowledge of the purpose and contribution of target templates.
K0593,Cybersecurity Foundations,,,"Knowledge of the range of cyber operations and their underlying intelligence support needs, topics, and focus areas."
K0594,IT Management/Services,,,"Knowledge of the relationships between end states, objectives, effects, lines of operation, etc."
K0595,Forensics,,,"Knowledge of the relationships of operational objectives, intelligence requirements, and intelligence production tasks."
K0596,Cybersecurity Foundations,,,Knowledge of the request for information process.
K0597,Networking,,,Knowledge of the role of network operations in supporting and facilitating other organization operations.
K0598,IT Management/Services,,,"Knowledge of the structure and intent of organization specific plans, guidance and authorizations."
K0599,Communication Architecture and Security,,,"Knowledge of the structure, architecture, and design of modern digital and telephony networks."
K0600,Communication Architecture and Security,Wireless Systems,,"Knowledge of the structure, architecture, and design of modern wireless communications systems."
K0601,Systems Architecture,,,Knowledge of the systems/architecture/communications used for coordination.
K0602,Data Mining,,,Knowledge of collection disciplines and capabilities.
K0603,Cyber Threats,,,Knowledge of the ways in which targets or threats use the Internet.
K0604,Cyber Threats,,,Knowledge of threat and/or target systems.
K0605,Networking,,,"Knowledge of tipping, cueing, mixing, and redundancy."
K0606,Software Development,,,"Knowledge of transcript development processes and techniques (e.g., verbatim, gist, summaries)."
K0607,Cybersecurity Foundations,Technical Writing,,Knowledge of translation processes and techniques.
K0608,Operating Systems,,,"Knowledge of Unix, Linux and Windows operating systems structures and internals (e.g., process management, directory structure, installed applications)."
K0609,Cybersecurity Foundations,Virtualization,,Knowledge of virtual machine technologies.
K0610,Cybersecurity Foundations,Virtualization,,"Knowledge of virtualization products (VMware, Virtual PC, SolarWinds, Parallels, V2, Oracle VM, QEMU, Hyper-V, Redhat, Veertu)."
K0612,Cyber Threats,,,Knowledge of what constitutes a “threat” to a network.
K0613,IT Management/Services,,,"Knowledge of who the organization’s operational planners are, how and where they can be contacted, and what are their expectations."
K0614,Communication Architecture and Security,Wireless Systems,,"Knowledge of wireless technologies (e.g., cellular, satellite, GSM) to include the basic structure, architecture, and design of modern wireless communications systems."
K0615,Cyber Crime and Law,,,Knowledge of privacy disclosure statements based on current laws.
K0616,Intrusion Detection Systems,,,"Knowledge of continuous monitoring, its processes, and Continuous Diagnostics and Mitigation (CDM) program activities."
K0617,Intrusion Detection Systems,,,Knowledge of Automated security control assessments
K0618,Networking,Hard/Software Maintenance,,"Knowledge of hardware asset management and the value of tracking the location and configuration of networked devices and software across departments, locations, facilities and, potentially, supporting business functions."
K0619,Software Development,Hard/Software Maintenance,,"Knowledge of software asset management and the value of tracking the location and configuration of networked devices and software across departments, locations, facilities and, potentially, supporting business functions."
K0620,Intrusion Detection Systems,,,Knowledge of continuous monitoring technologies and tools.
K0621,Intrusion Detection Systems,,,Knowledge of risk scoring.
K0622,Data Security,,,"Knowledge of controls related to the use, processing, storage, and transmission of data."
K0623,Intrusion Detection Systems,,,Knowledge of risk assessment methodologies.
K0624,Cyber Threats,,,Knowledge of Application Security Risks (e.g. Open Web Application Security Project Top 10 list)
K0625,Networking,,,Knowledge that patching and software updates are impractical for some networked devices.
K0626,Systems Architecture,,,Knowledge of secure update mechanisms.
K0627,Cyber Threats,,,Knowledge of the importance of ingress filtering to protect against automated threats that rely on spoofed network addresses.
K0628,Education/Teaching,,,"Knowledge of cyber competitions as a way of developing skills by providing hands-on experience in simulated, real-world situations."
K0629,Intrusion Detection Systems,,,Knowledge of white/black listing
K0630,Intrusion Detection Systems,,,"Knowledge of the latest intrusion techniques, methods and documented intrusions external to the organization."
