INDEX,TIER1 JOB,TIER2 JOB,TIER3 JOB,SKILL,
T0641,Cyber Threats,,,Create comprehensive exploitation strategies that identify exploitable technical or operational vulnerabilities.,112
T0713,Cyber Threats,,,Identify and submit intelligence requirements for the purposes of designating priority information requirements.,112
T0952,Cyber Threats,,,Assess the security controls in accordance with the assessment procedures defined in a security assessment plan.,112
T0097,Cyber Threats,,,Evaluate and approve development efforts to ensure that baseline security safeguards are appropriately installed.,113
T0124,Cyber Threats,,,"Incorporate cybersecurity vulnerability solutions into system designs (e.g., Cybersecurity Vulnerability Alerts).",113
T0255,Cyber Threats,,,"Participate in Risk Governance process to provide security risks, mitigations, and input on other technical risk.",113
T0656,Cyber Threats,,,Develop and review intelligence guidance for integration into supporting cyber operations planning and execution.,113
T0680,Cyber Threats,,,Ensure that intelligence planning activities are integrated and synchronized with operational planning timelines.,113
T0648,Cyber Threats,,,"Determine indicators (e.g., measures of effectiveness) that are best suited to specific cyber operation objectives.",115
T0195,Cyber Threats,,,Provide a managed flow of relevant information (via web-based portals or other means) based on mission requirements.,116
T0792,Cyber Threats,,,"Provide intelligence analysis and support to designated exercises, planning activities, and time sensitive operations.",118
T0853,Cyber Threats,,,"Scan, identify and prioritize target graphic (including machine-to-machine communications) and/or voice language material.",122
T0516,Cyber Threats,,,"Perform secure program testing, review, and/or assessment to identify potential flaws in codes and mitigate vulnerabilities.",124
T0041,Cyber Threats,,,Coordinate and provide expert technical support to enterprise-wide cyber defense technicians to resolve cyber defense incidents.,128
T0184,Cyber Threats,,,Plan and conduct security authorization reviews and assurance case development for initial installation of systems and networks.,128
T0261,Cyber Threats,,,"Assist in identifying, prioritizing, and coordinating the protection of critical cyber defense infrastructure and key resources.",128
T0483,Cyber Threats,,,"Identify potential conflicts with implementation of any cyber defense tools (e.g., tool and signature testing and optimization).",128
T0445,Cyber Threats,,,"Design/integrate a cyber strategy that outlines the vision, mission, and goals that align with the organization’s strategic plan.",129
T0787,Cyber Threats,,,"Provide input for the development and refinement of the cyber operations objectives, priorities, strategies, plans, and programs.",129
T0872,Cyber Threats,,,Collaborate with cybersecurity personnel on the security risk assessment process to address privacy compliance and risk mitigation,130
T0105,Cyber Threats,,,"Identify components or elements, allocate security functions to those elements, and describe the relationships between the elements.",132
T0076,Cyber Threats,,,Develop risk mitigation strategies to resolve vulnerabilities and recommend security changes to system or system components as needed.,134
T0004,Cyber Threats,,,"Advise senior management (e.g., CIO) on cost/benefit analysis of information security programs, policies, processes, systems, and elements.",139
T0800,Cyber Threats,,,"Provide timely notice of imminent or hostile intentions or activities which may impact organization objectives, resources, or capabilities.",139
T0088,Cyber Threats,,,Ensure that cybersecurity-enabled products or other compensating security control technologies reduce identified risk to an acceptable level.,141
T0410,Cyber Threats,,,Identify functional- and security-related features to find opportunities for new capability development to exploit or mitigate vulnerabilities.,143
T0138,Cyber Threats,,,"Maintain deployable cyber defense audit toolkit (e.g., specialized cyber defense software and hardware) to support cyber defense audit missions.",144
T0275,Cyber Threats,,,"Support necessary compliance activities (e.g., ensure that system security configuration guidelines are followed, compliance monitoring occurs).",144
T0485,Cyber Threats,,,"Implement security measures to resolve vulnerabilities, mitigate risks, and recommend security changes to system or system components as needed.",144
T0267,Cyber Threats,,,Design countermeasures and mitigations against potential exploitations of programming language weaknesses and vulnerabilities in system and elements.,149
T0268,Cyber Threats,,,Define and document how the implementation of a new system or new interfaces between systems impacts the security posture of the current environment.,149
T0955,Cyber Threats,,,Prepare a plan of action and milestones based on the findings and recommendations of a security assessment report excluding any remediation actions taken.,154
T0835,Cyber Threats,,,"Work closely with planners, analysts, and collection managers to identify intelligence gaps and ensure intelligence requirements are accurate and up-to-date.",157
T0264,Cyber Threats,,,"Ensure that plans of actions and milestones or remediation plans are in place for vulnerabilities identified during risk assessments, audits, inspections, etc.",159
T0714,Cyber Threats,,,"Identify collaboration forums that can serve as mechanisms for coordinating processes, functions, and outputs with specified organizations and functional groups.",161
T0748,Cyber Threats,,,"Monitor and report changes in threat dispositions, activities, tactics, capabilities, objectives, etc. as related to designated cyber operations warning problem sets.",166
T0758,Cyber Threats,,,"Produce timely, fused, all-source cyber operations intelligence and/or indications and warnings intelligence products (e.g., threat assessments, briefings, intelligence studies, country studies).",195
T0580,Cyber Threats,,,"Assess the effectiveness of collections in satisfying priority information gaps, using available capabilities and methods, and adjust collection strategies and collection requirements accordingly.",196
T0486,Cyber Threats,,,"Implement Risk Management Framework (RMF)/Security Assessment and Authorization (SA&A) requirements for dedicated cyber defense systems within the enterprise, and document and maintain records for them.",202
T0909,Cyber Threats,,,"Participate in the implementation and ongoing compliance monitoring of all trading partner and business associate agreements, to ensure all privacy concerns, requirements and responsibilities are addressed",205
T0175,Cyber Threats,,,"Perform real-time cyber defense incident handling (e.g., forensic collections, intrusion correlation and tracking, threat analysis, and direct system remediation) tasks to support deployable Incident Response Teams (IRTs).",222
T0180,Cyber Threats,,,"Perform system administration on specialized cyber defense applications and systems (e.g., antivirus, audit and remediation) or Virtual Private Network (VPN) devices, to include installation, configuration, maintenance, backup, and restoration.",244
T0503,Cyber Threats,,,"Monitor external data sources (e.g., cyber defense vendor sites, Computer Emergency Response Teams, Security Focus) to maintain currency of cyber defense threat condition and determine which security issues may have an impact on the enterprise.",244
T0549,Cyber Threats,,,"Perform technical (evaluation of technology) and nontechnical (evaluation of people and operations) risk and vulnerability assessments of relevant technology focus areas (e.g., local computing environment, network and infrastructure, enclave boundary, supporting infrastructure, and applications).",297
T0734,Cybersecurity Foundations,,,Issue requests for information.,31
T0569,Cybersecurity Foundations,,,Answer requests for information.,32
T0382,Cybersecurity Foundations,,,Present data in creative formats.,33
T0707,Cybersecurity Foundations,,,Generate requests for information.,34
T0077,Cybersecurity Foundations,,,Develop secure code and error handling.,39
T0769,Cybersecurity Foundations,,,Perform targeting automation activities.,40
T0202,Cybersecurity Foundations,,,Provide cybersecurity guidance to leadership.,45
T0596,Cybersecurity Foundations,,,Close requests for information once satisfied.,46
T0111,Cybersecurity Foundations,,,Identify basic common coding flaws at a high level.,51
T0207,Cybersecurity Foundations,,,Provide ongoing optimization and problem-solving support.,57
T0855,Cybersecurity Foundations,,,Transcribe target voice materials in the target language.,57
T0557,Cybersecurity Foundations,,,Integrate key management functions as related to cyberspace.,60
T0676,Cybersecurity Foundations,,,Draft cyber intelligence collection and production requirements.,64
T0684,Cybersecurity Foundations,,,Estimate operational effects generated through cyber activities.,64
T0795,Cybersecurity Foundations,,,Provide planning support between internal and external partners.,64
T0053,Cybersecurity Foundations,,,Design and develop cybersecurity or cybersecurity-enabled products.,67
T0732,Cybersecurity Foundations,,,Integrate cyber planning/targeting efforts with other organizations.,68
T0854,Cybersecurity Foundations,,,Tip critical or time-sensitive information to appropriate customers.,68
T0860,Cybersecurity Foundations,,,Identify cyber/technology-related terminology in the target language.,69
T0592,Cybersecurity Foundations,,,Provide input to the identification of cyber-related success criteria.,70
T0169,Cybersecurity Foundations,,,Perform cybersecurity testing of developed applications and/or systems.,71
T0857,Cybersecurity Foundations,,,"Translate (e.g., verbatim, gist, and/or summaries) target voice material.",73
T0856,Cybersecurity Foundations,,,"Translate (e.g., verbatim, gist, and/or summaries) target graphic material.",75
T0843,Cybersecurity Foundations,,,Perform quality review and provide feedback on transcribed or translated materials.,83
T0928,Cybersecurity Foundations,,,Collaborate with key stakeholders to establish a cybersecurity risk management program.,87
T0504,Cybersecurity Foundations,,,Assess and monitor cybersecurity related to system implementation and testing practices.,88
T0628,Cybersecurity Foundations,,,Contribute to the development of the organization's decision support tools if necessary.,88
T0176,Cybersecurity Foundations,,,Perform secure programming and identify potential flaws in codes to mitigate vulnerabilities.,93
T0362,Cybersecurity Foundations,,,Develop and implement standardized position descriptions based on established cyber work roles.,95
T0512,Cybersecurity Foundations,,,Perform interoperability testing on systems exchanging electronic information with other systems.,97
T0599,Cybersecurity Foundations,,,"Collaborate with other customer, Intelligence and targeting organizations involved in related cyber areas.",106
T0600,Cybersecurity Foundations,,,Collaborate with other internal and external partner organizations on target access and operational issues.,107
T0700,Cybersecurity Foundations,,,Facilitate the sharing of “best practices” and “lessons learned” throughout the cyber operations community.,107
T0404,Cybersecurity Foundations,,,"Utilize different programming languages to write code, open files, read files, and write output to different files.",115
T0219,Cybersecurity Foundations,,,Recommend resource allocations required to securely operate and maintain an organization’s cybersecurity requirements.,118
T0392,Cybersecurity Foundations,,,"Utilize technical documentation or resources to implement a new mathematical, data science, or computer science method.",119
T0159,Cybersecurity Foundations,,,Participate in the development or modification of the computer environment cybersecurity program plans and requirements.,120
T0698,Cybersecurity Foundations,,,"Facilitate continuously updated intelligence, surveillance, and visualization input to common operational picture managers.",123
T0376,Cybersecurity Foundations,,,"Establish, resource, implement, and assess cyber workforce management programs in accordance with organizational requirements.",126
T0553,Cybersecurity Foundations,,,"Apply cybersecurity functions (e.g., encryption, access control, and identity management) to reduce exploitation opportunities.",127
T0199,Cybersecurity Foundations,,,Provide enterprise cybersecurity and supply chain risk management guidance for development of the Continuity of Operations Plans.,129
T0262,Cybersecurity Foundations,,,"Employ approved defense-in-depth principles and practices (e.g., defense-in-multiple places, layered defenses, security robustness).",132
T0374,Cybersecurity Foundations,,,"Establish cyber career paths to allow career progression, deliberate development, and growth within and between cyber career fields.",132
T0375,Cybersecurity Foundations,,,"Establish manpower, personnel, and qualification data element standards to support cyber workforce management and reporting requirements.",137
T0682,Cybersecurity Foundations,,,Validate the link between collection requests and critical information requirements and priority intelligence requirements of leadership.,137
T0699,Cybersecurity Foundations,,,Facilitate interactions between internal and external partner decision makers to synchronize and integrate courses of action in support of objectives.,150
T0133,Cybersecurity Foundations,,,Interpret patterns of noncompliance to determine their impact on levels of risk and/or overall effectiveness of the enterprise’s cybersecurity program.,151
T0446,Cybersecurity Foundations,,,"Design, develop, integrate, and update system security measures that provide confidentiality, integrity, availability, authentication, and non-repudiation.",155
T0364,Cybersecurity Foundations,,,Develop cyber career field classification structure to include establishing career field entry requirements and other nomenclature such as codes and identifiers.,161
T0665,Cybersecurity Foundations,,,"Develop or participate in the development of standards for providing, requesting, and/or obtaining support from external partners to synchronize cyber operations.",162
T0581,Cybersecurity Foundations,,,Assist and advise interagency partners in identifying and developing best practices for facilitating operational support to achievement of organization objectives.,163
T0489,Cybersecurity Foundations,,,"Implement system security measures in accordance with established procedures to ensure confidentiality, integrity, availability, authentication, and non-repudiation.",165
T0314,Cybersecurity Foundations,,,"Develop a system security context, a preliminary system security Concept of Operations (CONOPS), and define baseline system security requirements in accordance with applicable cybersecurity requirements.",203
T0119,Cybersecurity Foundations,,,"Identify, assess, and recommend cybersecurity or cybersecurity-enabled products for use within a system and ensure that recommended products are in compliance with organization's evaluation and validation requirements.",218
T0271,Cybersecurity Foundations,,,"Develop cybersecurity designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations, high integrity and availability requirements, multilevel security/processing of multiple classification levels, and processing Sensitive Compartmented Information).",325
T0560,Cybersecurity Foundations,,,"Collaborate on cybersecurity designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations, high integrity and availability requirements, multilevel security/processing of multiple classification levels, and processing Sensitive Compartmented Information).",332
T0540,Data Mining,,,Record and manage test data.,28
T0561,Data Mining,,,Accurately characterize targets.,32
T0349,Data Mining,,,Collect metrics and trending data.,34
T0746,Data Mining,,,Modify collection requirements as necessary.,44
T0361,Data Mining,,,Develop and facilitate data-gathering methods.,46
T0366,Data Mining,,,Develop strategic insights from large data sets.,48
T0674,Data Mining,,,Disseminate tasking messages and collection plans.,50
T0809,Data Mining,,,Review capabilities of allocated collection assets.,51
T0652,Data Mining,,,Develop all-source intelligence targeting materials.,52
T0634,Data Mining,,,Re-task or re-direct collection assets and resources.,53
T0750,Data Mining,,,Monitor completion of reallocated collection efforts.,53
T0796,Data Mining,,,Provide real-time actionable geolocation information.,53
T0459,Data Mining,,,Implement data mining and data warehousing applications.,56
T0347,Data Mining,,,Assess the validity of source data and subsequent findings.,59
T0812,Data Mining,,,"Review and update overarching collection plan, as required.",59
T0620,Data Mining,,,Conduct open source data collection via various online tools.,61
T0185,Data Mining,,,Plan and manage the delivery of knowledge management projects.,62
T0460,Data Mining,,,Develop and implement data mining and data warehousing programs.,64
T0595,Data Mining,,,Classify documents in accordance with classification guidelines.,64
T0673,Data Mining,,,Disseminate reports to inform decision makers on collection issues.,67
T0810,Data Mining,,,Review intelligence collection guidance for accuracy/applicability.,67
T0833,Data Mining,,,Validate requests for information according to established criteria.,68
T0632,Data Mining,,,Coordinate inclusion of collection plan in appropriate documentation.,69
T0737,Data Mining,,,Link priority collection requirements to optimal assets and resources.,70
T0024,Data Mining,,,Collect and maintain data needed to meet system cybersecurity reporting.,72
T0103,Data Mining,,,Examine recovered data for information of relevance to the issue at hand.,73
T0731,Data Mining,,,Initiate requests to guide tasking and assist with collection management.,73
T0578,Data Mining,,,Assess performance of collection assets against prescribed specifications.,74
T0849,Data Mining,,,Perform foreign language and dialect identification in initial source data.,75
T0715,Data Mining,,,Identify collection gaps and potential collection strategies against targets.,77
T0745,Data Mining,,,Make recommendations to guide collection in support of customer requirements.,77
T0811,Data Mining,,,Review list of prioritized collection requirements and essential information.,77
T0814,Data Mining,,,Revise collection matrix based on availability of optimal assets and resources.,79
T0694,Data Mining,,,Evaluate the effectiveness of collection operations against the collection plan.,80
T0146,Data Mining,,,"Manage the compilation, cataloging, caching, distribution, and retrieval of data.",81
T0626,Data Mining,,,Construct collection plans and matrixes using established guidance and procedures.,82
T0848,Data Mining,,,Provide feedback to collection managers to enhance future collection and analysis.,82
T0618,Data Mining,,,Conduct on-net activities to control and exfiltrate data from deployed technologies.,84
T0238,Data Mining,,,"Extract data using data carving techniques (e.g., Forensic Tool Kit [FTK], Foremost).",85
T0646,Data Mining,,,"Determine existing collection management webpage databases, libraries and storehouses.",86
T0716,Data Mining,,,Identify coordination requirements and procedures with designated collection authorities.,89
T0657,Data Mining,,,Develop coordinating instructions by collection discipline for each phase of an operation.,90
T0675,Data Mining,,,Conduct and document an assessment of the collection results using established procedures.,90
T0831,Data Mining,,,Translate collection requests into applicable discipline-specific collection requirements.,90
T0064,Data Mining,,,"Review and validate data mining and data warehousing programs, processes, and requirements.",91
T0773,Data Mining,,,Prioritize collection requirements for collection platforms based on platform capabilities.,91
T0851,Data Mining,,,Provide requirements and feedback to optimize the development of language processing tools.,91
T0604,Data Mining,,,Compare allocated and available assets to collection demand as expressed through requirements.,94
T0693,Data Mining,,,Evaluate extent to which collection operations are synchronized with operational requirements.,94
T0695,Data Mining,,,Examine intercept-related metadata and content with an understanding of targeting significance.,95
T0821,Data Mining,,,Specify discipline-specific collections and/or taskings that must be executed in the near term.,95
T0635,Data Mining,,,Coordinate with intelligence and cyber defense partners to obtain relevant essential information.,97
T0802,Data Mining,,,Review appropriate information sources to determine validity and relevance of information gathered.,99
T0723,Data Mining,,,Identify potential collection disciplines for application against priority information requirements.,100
T0649,Data Mining,,,Determine organizations and/or echelons with collection authority over all accessible collection assets.,104
T0689,Data Mining,,,Evaluate extent to which collected information and/or produced intelligence satisfy information requests.,105
T0377,Data Mining,,,Gather feedback on customer satisfaction and internal service performance to foster continual improvement.,106
T0636,Data Mining,,,Coordinate with intelligence planners to ensure that collection managers receive information requirements.,106
T0651,Data Mining,,,Develop a method for comparing collection reports to outstanding requirements to identify information gaps.,107
T0619,Data Mining,,,"Conduct on-net and off-net activities to control, and exfiltrate data from deployed, automated technologies.",108
T0725,Data Mining,,,"Identify and mitigate risks to collection management ability to support the plan, operations and target cycle.",110
T0822,Data Mining,,,Submit information requests to collection requirement management section for processing as collection requests.,111
T0840,Data Mining,,,"Collaborate across internal and/or external organizational lines to enhance collection, analysis and dissemination.",115
T0586,Data Mining,,,"Assist in the coordination, validation, and management of all-source collection requirements, plans, and/or activities.",119
T0613,Data Mining,,,Conduct formal and informal coordination of collection requirements in accordance with established guidelines and procedures.,125
T0631,Data Mining,,,Coordinate resource allocation of collection assets against prioritized collection requirements with collection discipline leads.,129
T0844,Data Mining,,,"Evaluate and interpret metadata to look for patterns, anomalies, or events, thereby optimizing targeting, analysis and processing.",130
T0625,Data Mining,,,Consider efficiency and effectiveness of collection assets and resources if/when applied against priority information requirements.,131
T0668,Data Mining,,,"Develop procedures for providing feedback to collection managers, asset managers, and processing, exploitation and dissemination centers.",137
T0839,Data Mining,,,"Assess, document, and apply a target's motivation and/or frame of reference to facilitate analysis, targeting and collection opportunities.",139
T0804,Data Mining,,,Record information collection and/or environment preparation activities against targets during operations designed to achieve cyber effects.,140
T0785,Data Mining,,,"Provide evaluation and feedback necessary for improving intelligence production, intelligence reporting, collection requirements, and operations.",145
T0820,Data Mining,,,Specify changes to collection plan and/or operational environment that necessitate re-tasking or re-directing of collection assets and resources.,145
T0830,Data Mining,,,"Track status of information requests, including those processed as collection requests and production requirements, using established procedures.",145
T0819,Data Mining,,,"Solicit and manage to completion feedback from requestors on quality, timeliness, and effectiveness of collection against collection requirements.",146
T0780,Data Mining,,,Provide advisory and advocacy support to promote collection planning as an integrated component of the strategic campaign plans and other adaptive plans.,153
T0562,Data Mining,,,Adjust collection operations or collection plan to address identified issues/challenges and to synchronize collections with overall operational requirements.,157
T0834,Data Mining,,,"Work closely with planners, intelligence analysts, and collection managers to ensure intelligence requirements and collection plans are accurate and up-to-date.",160
T0827,Data Mining,,,Synchronize the integrated employment of all available organic and partner intelligence collection assets using available collaboration capabilities and techniques.,164
T0730,Data Mining,,,"Inform stakeholders (e.g., collection managers, asset managers, processing, exploitation and dissemination centers) of evaluation results using established procedures.",167
T0757,Data Mining,,,Optimize mix of collection assets and resources to increase effectiveness and efficiency against essential information associated with priority intelligence requirements.,170
T0572,Data Mining,,,"Apply cyber collection, environment preparation and engagement expertise to enable new exploitation and/or continued collection operations, or in support of customer requirements.",179
T0806,Data Mining,,,"Request discipline-specific processing, exploitation, and disseminate information collected using discipline's collection assets and resources in accordance with approved guidance and/or procedures.",198
T0873,Data Mining,,,"Interface with Senior Management to develop strategic plans for the collection, use and sharing of information in a manner that maximizes its value while complying with applicable privacy regulations",199
T0372,Data Mining,,,"Establish and collect metrics to monitor and validate cyber workforce readiness including analysis of cyber workforce data to assess the status of positions identified, filled, and filled with qualified personnel.",213
T0702,Data Mining,,,Formulate collection strategies based on knowledge of available intelligence discipline capabilities and gathering methods that align multi-discipline collection capabilities and accesses with targets and their observables.,223
T0948,Data Security,,,Review and approve security plans.,34
T0898,Data Security,,,Establish an internal privacy audit program,43
T0309,Data Security,,,Assess the effectiveness of security controls.,46
T0068,Data Security,,,"Develop data standards, policies, and procedures.",49
T0084,Data Security,,,Employ secure configuration management processes.,49
T0225,Data Security,,,Secure the electronic device or information source.,51
T0934,Data Security,,,Identify stakeholder assets that require protection.,52
T0815,Data Security,,,Sanitize and minimize information to protect sources and methods.,65
T0871,Data Security,,,Collaborate on cyber privacy and security policies and procedures,65
T0016,Data Security,,,Apply security policies to meet security objectives of the system.,66
T0136,Data Security,,,Maintain baseline system security according to organizational policies.,71
T0892,Data Security,,,Develop and coordinate a risk management and compliance framework for privacy,77
T0936,Data Security,,,Define the stakeholder protection needs and stakeholder security requirements.,78
T0454,Data Security,,,Define baseline security requirements in accordance with applicable guidelines.,79
T0941,Data Security,,,Identify the security requirements allocated to a system and to the organization.,81
T0921,Data Security,,,Determine business partner requirements related to the organization’s privacy program.,86
T0475,Data Security,,,Assess adequate access controls based on principles of least privilege and need-to-know.,88
T0949,Data Security,,,Implement the security controls specified in a security plan or other system documentation.,91
T0911,Data Security,,,Mitigate effects of a use or disclosure of personal information by employees or business partners,97
T0358,Data Security,,,Design and develop system administration and management functionality for privileged access users.,98
T0449,Data Security,,,Design to security requirements to ensure requirements are met for all systems and/or applications.,99
T0957,Data Security,,,Determine the risk from the operation or use of a system or the provision or use of common controls.,100
T0939,Data Security,,,Conduct a second-level security categorization for organizational systems with the same impact level.,101
T0951,Data Security,,,"Develop, review, and approve a plan to assess the security controls in a system and the organization.",101
T0869,Data Security,,,Work with organization senior management to establish an organization-wide Privacy Oversight Committee,102
T0877,Data Security,,,Work cooperatively with applicable organization units in overseeing consumer information access rights,102
T0943,Data Security,,,Categorize the system and document the security categorization results as part of system requirements.,102
T0938,Data Security,,,Identify organization-wide common controls that are available for inheritance by organizational systems.,104
T0147,Data Security,,,Manage the monitoring of information security data sources to maintain organizational situational awareness.,108
T0905,Data Security,,,Review all system-related information security plans to ensure alignment between security and privacy practices,111
T0907,Data Security,,,Account for and administer individual requests for release or disclosure of personal and/or protected information,113
T0917,Data Security,,,Coordinate with the Chief Information Security Officer to ensure alignment between security and privacy practices,113
T0886,Data Security,,,Work with External Affairs to respond to press and other inquiries regarding concern over consumer and employee data,116
T0524,Data Security,,,Promote knowledge sharing between information owners/users through an organization’s operational processes and systems.,119
T0527,Data Security,,,Provide input to implementation plans and standard operating procedures as they relate to information systems security.,119
T0251,Data Security,,,"Develop security compliance processes and/or audits for external services (e.g., cloud service providers, data centers).",120
T0959,Data Security,,,"Determine if the risk from the operation or use of the system or the provision or use of common controls, is acceptable.",120
T0015,Data Security,,,"Apply security policies to applications that interface with one another, such as Business-to-Business (B2B) applications.",121
T0868,Data Security,,,Work with business teams and senior management to ensure awareness of “best practices” on privacy and data security issues.,123
T0932,Data Security,,,"Identify stakeholders who have a security interest in the development, implementation, operation, or sustainment of a system.",125
T0933,Data Security,,,"Identify stakeholders who have a security interest in the development, implementation, operation, or sustainment of a system.",125
T0915,Data Security,,,Identify and correct potential company compliance gaps and/or areas of risk to ensure full compliance with privacy regulations,126
T0484,Data Security,,,"Determine the protection needs (i.e., security controls) for the information system(s) and network(s) and document appropriately.",129
T0919,Data Security,,,"Ensure that the company maintains appropriate privacy and confidentiality notices, consent and authorization forms, and materials",129
T0190,Data Security,,,"Prepare digital media for imaging by ensuring data integrity (e.g., write blockers in accordance with standard operating procedures).",133
T0421,Data Security,,,"Manage the indexing/cataloguing, storage, and access of explicit organizational knowledge (e.g., hard copy documents, digital files).",133
T0017,Data Security,,,"Apply service-oriented security architecture principles to meet organization's confidentiality, integrity, and availability requirements.",137
T0946,Data Security,,,Select the security controls for a system and document the functional description of the planned control implementations in a security plan.,140
T0901,Data Security,,,"Assure that the use of technologies maintains, and does not erode, privacy protections on use, collection and disclosure of personal information",144
T0559,Data Security,,,"Develop designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations.",146
T0865,Data Security,,,Work with external affairs to develop relationships with regulators and other government officials responsible for privacy and data security issues.,148
T0861,Data Security,,,"Work with the general counsel, external affairs and businesses to ensure both existing and new services comply with privacy and data security obligations.",154
T0550,Data Security,,,"Make recommendations regarding the selection of cost-effective security controls to mitigate risk (e.g., protection of information, systems and processes).",155
T0436,Data Security,,,Conduct trial runs of programs and software applications to ensure that the desired information is produced and instructions and security levels are correct.,157
T0480,Data Security,,,"Identify components or elements, allocate comprehensive functional components to include security functions, and describe the relationships between the elements.",161
T0954,Data Security,,,Conduct initial remediation actions on security controls based on the findings and recommendations of a security assessment report; reassess remediated controls.,161
T0893,Data Security,,,Undertake a comprehensive review of the company’s data and privacy projects and ensure that they are consistent with corporate privacy and data security goals and policies.,172
T0903,Data Security,,,"Conduct privacy impact assessments of proposed rules on the privacy of personal information, including the type of personal information collected and the number of people affected",179
T0256,Data Security,,,Evaluate the effectiveness of procurement function in addressing information security requirements and supply chain risks through procurement activities and recommend improvements.,180
T0022,Data Security,,,"Capture security controls used during the requirements phase to integrate security within the process, to identify key security objectives, and to maximize software security while minimizing disruption to plans and schedules.",225
T0914,Data Security,,,"Support the organization’s privacy compliance program, working closely with the Privacy Officer, Chief Information Security Officer, and other business leaders to ensure compliance with federal and state privacy laws and regulations",232
T0883,Data Security,,,Work with external affairs to develop relationships with consumer organizations and other NGOs with an interest in privacy and data security issues—and to manage company participation in public events related to privacy and data security,237
T0071,Data Security,,,"Develop/integrate cybersecurity designs for systems and networks with multilevel security requirements or requirements for the processing of multiple classification levels of data primarily applicable to government organizations (e.g., UNCLASSIFIED, SECRET, and TOP SECRET).",274
T0137,Database Systems,,,Maintain database management systems software.,46
T0168,Database Systems,,,Perform hash comparison against established database.,53
T0152,Database Systems,,,Monitor and maintain databases to ensure optimal performance.,61
T0490,Database Systems,,,Install and configure database management systems and software.,63
T0162,Database Systems,,,Perform backup and recovery of databases to ensure data integrity.,66
T0422,Database Systems,,,"Implement data management standards, requirements, and specifications.",70
T0210,Database Systems,,,Provide recommendations on new database technologies and architectures.,71
T0186,Database Systems,,,"Plan, execute, and verify data redundancy and system recovery procedures.",73
T0402,Database Systems,,,Effectively allocate storage capacity in the design of data management systems.,79
T0399,Database Systems,,,"Enter media information into tracking database (e.g., Product Tracker Tool) for digital media that has been acquired.",117
T0867,Database Systems,,,Ensure all processing and/or databases are registered with the local privacy/data protection authorities where required.,120
T0209,Database Systems,,,Provide recommendations on data structures and databases that ensure correct and quality production of reports/management information.,134
T0413,Database Systems,,,"Develop data management capabilities (e.g., cloud-based, centralized cryptographic key management) to include support to the mobile workforce.",142
T0305,Database Systems,,,"Performs configuration management, problem management, capacity management, and financial management for databases and data management systems.",143
T0056,Database Systems,,,"Design or integrate appropriate data backup capabilities into overall system designs, and ensure that appropriate technical and procedural processes exist for secure system backups and protected storage of backup data.",218
T0510,Disaster Management,,,Coordinate incident response functions.,39
T0912,Disaster Management,,,Develop and apply corrective action procedures,46
T0331,Disaster Management,,,Maintain incident tracking and solution database.,49
T0654,Disaster Management,,,Develop and maintain deliberate and/or crisis plans.,52
T0627,Disaster Management,,,Contribute to crisis action planning for cyber operations.,58
T0400,Disaster Management,,,Correlate incident data and perform cyber defense reporting.,60
T0824,Disaster Management,,,Support identification and documentation of collateral effects.,63
T0823,Disaster Management,,,Submit or respond to requests for deconfliction of cyber operations.,68
T0477,Disaster Management,,,Ensure the execution of disaster recovery and continuity of operations.,71
T0468,Disaster Management,,,"Diagnose and resolve customer reported system incidents, problems, and events.",78
T0958,Disaster Management,,,Identify and implement a preferred course of action in response to the risk determined.,87
T0545,Disaster Management,,,Work with stakeholders to resolve computer security incidents and vulnerability compliance.,91
T1006,Disaster Management,,,"Respond to issues flagged during continuous monitoring, escalate and coordinate a response.",91
T0548,Disaster Management,,,"Provide advice and input for Disaster Recovery, Contingency, and Continuity of Operations Plans.",96
T0215,Disaster Management,,,"Recognize a possible security violation and take appropriate action to report the incident, as required.",104
T0930,Disaster Management,,,Establish a risk management strategy for the organization that includes a determination of risk tolerance.,106
T0929,Disaster Management,,,Identify and assign individuals to specific roles associated with the execution of the Risk Management Framework.,113
T0229,Disaster Management,,,Supervise or manage protective or corrective measures when a cybersecurity incident or vulnerability is discovered.,115
T0047,Disaster Management,,,Correlate incident data to identify specific vulnerabilities and make recommendations that enable expeditious remediation.,122
T0462,Disaster Management,,,Develop procedures and test fail-over for system operations transfer to an alternate site based on system availability requirements.,132
T0401,Disaster Management,,,"Maintain deployable cyber defense toolkit (e.g., specialized cyber defense software/hardware) to support Incident Response Team mission.",136
T0916,Disaster Management,,,"Manage privacy incidents and breaches in conjunction with the Privacy Officer, Chief Information Security Officer, legal counsel and the business units",151
T0050,Disaster Management,,,Define and prioritize essential system capabilities or business functions required for partial or full system restoration after a catastrophic failure event.,157
T0440,Disaster Management,,,Capture and integrate essential system capabilities or business functions required for partial or full system restoration after a catastrophic failure event.,157
T0070,Disaster Management,,,Develop Disaster Recovery and Continuity of Operations plans for systems under development and ensure testing prior to systems entering a production environment.,161
T0213,Disaster Management,,,"Provide technical documents, incident reports, findings from computer examinations, summaries, and other situational awareness information to higher headquarters.",162
T0155,Disaster Management,,,"Document and escalate incidents (including event’s history, status, and potential impact for further action) that may cause ongoing and immediate impact to the environment.",172
